Date,Branch,Customer type,Gender,Product line,Unit price,Quantity,Payment,Rating,Sales
01/04/24,Manhattan,Member,Female,Home & Lifestyle,35.54,10,Ewallet,7,355.4
01/04/24,Brooklyn,Member,Female,Fashion & Accs,68.71,4,Cash,4,274.84
01/04/24,Brooklyn,Member,Male,Electronics,72.17,1,Cash,6,72.17
01/05/24,Queens,Member,Female,Fashion & Accs,31.9,1,Ewallet,9,31.9
01/05/24,Queens,Non-member,Male,Fashion & Accs,27.38,6,Credit card,7,164.28
01/05/24,Brooklyn,Member,Female,Home & Lifestyle,35.38,9,Credit card,9,318.42
01/05/24,Queens,Non-member,Female,Fashion & Accs,76.06,3,Credit card,9,228.18
01/05/24,Manhattan,Member,Female,Health & Beauty,74.69,7,Ewallet,9,522.83
01/05/24,Brooklyn,Non-member,Female,Food & Beverages,71.2,1,Credit card,9,71.2
01/05/24,Manhattan,Member,Male,Home & Lifestyle,70.74,4,Credit card,4,282.96
01/05/24,Manhattan,Non-member,Female,Electronics,93.88,7,Credit card,7,657.16
01/05/24,Queens,Non-member,Female,Health & Beauty,78.89,7,Ewallet,7,552.23
01/05/24,Brooklyn,Member,Female,Fashion & Accs,73.96,1,Credit card,5,73.96
01/05/24,Manhattan,Member,Male,Home & Lifestyle,62.65,4,Cash,4,250.6
01/05/24,Manhattan,Non-member,Female,Home & Lifestyle,42.91,5,Ewallet,6,214.55
01/06/24,Brooklyn,Non-member,Male,Home & Lifestyle,62.19,4,Ewallet,4,248.76
01/06/24,Queens,Non-member,Male,Food & Beverages,89.48,10,Credit card,9,894.8
01/06/24,Manhattan,Non-member,Female,Sports & Travel,15.34,1,Cash,6,15.34
01/06/24,Brooklyn,Member,Male,Health & Beauty,80.47,9,Cash,9,724.23
01/06/24,Manhattan,Member,Male,Home & Lifestyle,58.9,8,Cash,8,471.2
01/06/24,Queens,Non-member,Female,Fashion & Accs,81.68,4,Cash,9,326.72
01/06/24,Manhattan,Non-member,Female,Food & Beverages,40.94,5,Ewallet,9,204.7
01/06/24,Manhattan,Non-member,Male,Sports & Travel,64.59,4,Ewallet,9,258.36
01/06/24,Manhattan,Non-member,Female,Fashion & Accs,42.57,7,Cash,6,297.99
01/07/24,Brooklyn,Non-member,Male,Fashion & Accs,47.97,7,Cash,6,335.79
01/07/24,Queens,Member,Female,Home & Lifestyle,21.82,10,Cash,7,218.2
01/07/24,Queens,Non-member,Male,Food & Beverages,27.22,3,Cash,7,81.66
01/07/24,Queens,Member,Female,Sports & Travel,68.12,1,Ewallet,6,68.12
01/07/24,Manhattan,Member,Male,Electronics,77.72,4,Credit card,8,310.88
01/07/24,Manhattan,Member,Female,Home & Lifestyle,21.54,9,Credit card,8,193.86
01/07/24,Brooklyn,Member,Female,Fashion & Accs,97.61,6,Ewallet,9,585.66
01/07/24,Manhattan,Non-member,Male,Sports & Travel,60.95,9,Credit card,6,548.55
01/07/24,Brooklyn,Member,Female,Food & Beverages,89.14,4,Credit card,7,356.56
01/08/24,Queens,Member,Female,Fashion & Accs,51.89,7,Cash,4,363.23
01/08/24,Brooklyn,Member,Female,Food & Beverages,33.21,10,Ewallet,6,332.1
01/08/24,Queens,Non-member,Female,Fashion & Accs,31.73,9,Credit card,5,285.57
01/08/24,Brooklyn,Member,Female,Home & Lifestyle,49.1,2,Credit card,6,98.2
01/08/24,Queens,Non-member,Female,Home & Lifestyle,45.38,4,Credit card,8,181.52
01/08/24,Queens,Member,Male,Home & Lifestyle,55.57,3,Credit card,5,166.71
01/08/24,Queens,Member,Female,Food & Beverages,68.54,8,Ewallet,8,548.32
01/08/24,Brooklyn,Member,Male,Fashion & Accs,65.23,10,Credit card,5,652.3
01/08/24,Queens,Non-member,Male,Fashion & Accs,12.78,1,Ewallet,9,12.78
01/08/24,Brooklyn,Member,Female,Food & Beverages,74.6,10,Cash,9,746
01/08/24,Brooklyn,Member,Female,Sports & Travel,64.83,2,Credit card,8,129.66
01/08/24,Manhattan,Non-member,Male,Sports & Travel,37.14,5,Ewallet,5,185.7
01/08/24,Manhattan,Non-member,Female,Electronics,50.23,4,Cash,9,200.92
01/08/24,Manhattan,Member,Male,Sports & Travel,12.76,2,Ewallet,7,25.52
01/08/24,Manhattan,Member,Female,Electronics,79.59,3,Cash,6,238.77
01/08/24,Brooklyn,Member,Female,Sports & Travel,48.5,3,Cash,6,145.5
01/08/24,Queens,Member,Male,Food & Beverages,24.31,3,Credit card,4,72.93
01/08/24,Queens,Member,Female,Food & Beverages,72.88,9,Cash,4,655.92
01/09/24,Brooklyn,Member,Female,Sports & Travel,11.85,8,Cash,4,94.8
01/09/24,Queens,Non-member,Male,Electronics,96.37,7,Cash,6,674.59
01/09/24,Queens,Non-member,Female,Fashion & Accs,49.32,6,Ewallet,7,295.92
01/09/24,Brooklyn,Member,Female,Home & Lifestyle,21.9,3,Ewallet,4,65.7
01/09/24,Manhattan,Member,Male,Fashion & Accs,38.54,5,Ewallet,5,192.7
01/09/24,Queens,Member,Male,Fashion & Accs,49.04,9,Credit card,8,441.36
01/09/24,Queens,Non-member,Female,Home & Lifestyle,15.8,10,Cash,7,158
01/09/24,Queens,Non-member,Female,Sports & Travel,95.44,10,Cash,5,954.4
01/10/24,Brooklyn,Non-member,Female,Fashion & Accs,79.86,7,Credit card,5,559.02
01/10/24,Queens,Member,Male,Electronics,74.79,5,Cash,4,373.95
01/10/24,Manhattan,Member,Female,Health & Beauty,36.26,2,Credit card,7,72.52
01/10/24,Brooklyn,Non-member,Female,Electronics,13.78,4,Ewallet,9,55.12
01/10/24,Queens,Member,Male,Food & Beverages,50.49,9,Cash,5,454.41
01/10/24,Manhattan,Member,Male,Home & Lifestyle,78.38,6,Ewallet,5,470.28
01/10/24,Manhattan,Member,Female,Sports & Travel,21.98,7,Ewallet,5,153.86
01/10/24,Queens,Non-member,Female,Sports & Travel,83.14,7,Credit card,6,581.98
01/10/24,Brooklyn,Non-member,Male,Sports & Travel,83.78,8,Cash,5,670.24
01/11/24,Manhattan,Non-member,Male,Food & Beverages,24.94,9,Credit card,5,224.46
01/11/24,Manhattan,Non-member,Male,Fashion & Accs,89.69,1,Ewallet,4,89.69
01/11/24,Queens,Member,Female,Food & Beverages,36.77,7,Cash,7,257.39
01/11/24,Manhattan,Member,Male,Sports & Travel,82.33,4,Credit card,7,329.32
01/11/24,Queens,Member,Female,Sports & Travel,87.16,2,Credit card,9,174.32
01/11/24,Manhattan,Member,Male,Food & Beverages,48.5,6,Ewallet,9,291
01/11/24,Manhattan,Non-member,Female,Home & Lifestyle,96.52,6,Cash,4,579.12
01/11/24,Manhattan,Non-member,Male,Food & Beverages,13.79,5,Credit card,7,68.95
01/12/24,Queens,Member,Male,Sports & Travel,57.12,7,Credit card,6,399.84
01/12/24,Brooklyn,Non-member,Female,Health & Beauty,57.22,2,Ewallet,8,114.44
01/12/24,Brooklyn,Member,Male,Electronics,91.56,8,Ewallet,6,732.48
01/12/24,Brooklyn,Member,Female,Health & Beauty,27.07,1,Credit card,5,27.07
01/12/24,Brooklyn,Non-member,Female,Fashion & Accs,83.25,10,Credit card,4,832.5
01/12/24,Manhattan,Member,Male,Electronics,88.67,10,Ewallet,7,886.7
01/12/24,Manhattan,Non-member,Female,Fashion & Accs,29.42,10,Ewallet,8,294.2
01/12/24,Manhattan,Member,Female,Fashion & Accs,20.01,9,Credit card,5,180.09
01/12/24,Brooklyn,Non-member,Male,Sports & Travel,23.01,6,Ewallet,7,138.06
01/12/24,Queens,Non-member,Male,Home & Lifestyle,97.5,10,Ewallet,8,975
01/12/24,Brooklyn,Non-member,Female,Home & Lifestyle,51.07,7,Cash,7,357.49
13/01/24,Brooklyn,Member,Male,Sports & Travel,72.6,6,Cash,6,435.6
13/01/24,Manhattan,Member,Male,Home & Lifestyle,81.01,3,Credit card,9,243.03
13/01/24,Queens,Member,Female,Fashion & Accs,74.29,1,Cash,5,74.29
13/01/24,Manhattan,Non-member,Female,Electronics,23.46,6,Ewallet,6,140.76
13/01/24,Manhattan,Member,Female,Health & Beauty,39.62,9,Credit card,6,356.58
13/01/24,Queens,Member,Female,Food & Beverages,21.04,4,Cash,7,84.16
13/01/24,Brooklyn,Member,Male,Fashion & Accs,59.86,2,Ewallet,6,119.72
13/01/24,Brooklyn,Non-member,Male,Food & Beverages,72.39,2,Credit card,8,144.78
13/01/24,Manhattan,Non-member,Male,Sports & Travel,45.58,7,Cash,5,319.06
13/01/24,Queens,Non-member,Female,Electronics,41.65,10,Credit card,5,416.5
14/01/24,Queens,Member,Male,Health & Beauty,60.47,3,Credit card,5,181.41
14/01/24,Brooklyn,Non-member,Female,Sports & Travel,34.81,1,Credit card,7,34.81
14/01/24,Brooklyn,Member,Female,Fashion & Accs,18.08,4,Credit card,9,72.32
14/01/24,Manhattan,Member,Female,Fashion & Accs,96.7,5,Ewallet,7,483.5
14/01/24,Brooklyn,Non-member,Female,Food & Beverages,99.69,5,Cash,9,498.45
14/01/24,Brooklyn,Non-member,Female,Health & Beauty,17.75,1,Cash,8,17.75
14/01/24,Queens,Non-member,Male,Food & Beverages,84.83,1,Ewallet,8,84.83
14/01/24,Queens,Non-member,Male,Health & Beauty,53.19,7,Ewallet,5,372.33
14/01/24,Brooklyn,Non-member,Male,Food & Beverages,73.06,7,Credit card,4,511.42
14/01/24,Queens,Non-member,Male,Food & Beverages,31.77,4,Ewallet,6,127.08
14/01/24,Queens,Member,Female,Electronics,44.84,9,Credit card,7,403.56
14/01/24,Manhattan,Member,Male,Fashion & Accs,56.04,10,Ewallet,4,560.4
14/01/24,Queens,Non-member,Male,Electronics,61.41,7,Cash,9,429.87
15/01/24,Manhattan,Member,Female,Home & Lifestyle,89.21,9,Credit card,6,802.89
15/01/24,Brooklyn,Non-member,Male,Electronics,75.66,5,Ewallet,7,378.3
15/01/24,Brooklyn,Non-member,Female,Home & Lifestyle,97.37,10,Credit card,4,973.7
15/01/24,Manhattan,Non-member,Female,Sports & Travel,19.1,7,Cash,9,133.7
15/01/24,Manhattan,Member,Male,Food & Beverages,83.77,2,Credit card,7,167.54
15/01/24,Queens,Non-member,Male,Electronics,55.87,10,Cash,5,558.7
15/01/24,Brooklyn,Member,Male,Health & Beauty,66.47,10,Credit card,5,664.7
15/01/24,Brooklyn,Member,Female,Sports & Travel,93.72,6,Cash,4,562.32
15/01/24,Manhattan,Non-member,Female,Home & Lifestyle,11.43,6,Cash,7,68.58
15/01/24,Brooklyn,Non-member,Female,Fashion & Accs,73.52,2,Ewallet,4,147.04
15/01/24,Queens,Member,Male,Health & Beauty,81.23,7,Cash,9,568.61
15/01/24,Queens,Member,Male,Food & Beverages,17.44,5,Cash,8,87.2
15/01/24,Manhattan,Non-member,Female,Electronics,60.88,9,Ewallet,4,547.92
16/01/24,Queens,Non-member,Male,Home & Lifestyle,95.58,10,Cash,4,955.8
16/01/24,Brooklyn,Member,Female,Sports & Travel,90.74,7,Credit card,6,635.18
16/01/24,Queens,Non-member,Female,Food & Beverages,93.26,9,Cash,8,839.34
16/01/24,Queens,Member,Male,Sports & Travel,17.14,7,Credit card,7,119.98
16/01/24,Brooklyn,Non-member,Male,Fashion & Accs,39.21,4,Credit card,9,156.84
16/01/24,Manhattan,Member,Male,Home & Lifestyle,63.56,10,Cash,4,635.6
16/01/24,Queens,Member,Female,Sports & Travel,15.49,2,Cash,6,30.98
16/01/24,Brooklyn,Member,Male,Fashion & Accs,51.36,1,Ewallet,5,51.36
16/01/24,Manhattan,Non-member,Female,Sports & Travel,93.18,2,Credit card,8,186.36
16/01/24,Queens,Non-member,Female,Food & Beverages,52.6,9,Cash,7,473.4
17/01/24,Brooklyn,Non-member,Female,Sports & Travel,40.62,2,Credit card,4,81.24
17/01/24,Manhattan,Non-member,Female,Food & Beverages,81.21,10,Credit card,6,812.1
17/01/24,Brooklyn,Member,Male,Food & Beverages,57.89,2,Ewallet,8,115.78
17/01/24,Manhattan,Non-member,Male,Home & Lifestyle,21.52,6,Credit card,9,129.12
17/01/24,Brooklyn,Member,Female,Home & Lifestyle,94.59,7,Credit card,4,662.13
17/01/24,Queens,Member,Female,Health & Beauty,62.82,2,Ewallet,4,125.64
17/01/24,Queens,Member,Male,Food & Beverages,65.65,2,Cash,6,131.3
17/01/24,Queens,Member,Male,Sports & Travel,71.92,5,Credit card,4,359.6
17/01/24,Manhattan,Non-member,Male,Sports & Travel,25.7,3,Ewallet,6,77.1
17/01/24,Brooklyn,Member,Female,Home & Lifestyle,86.72,1,Ewallet,7,86.72
17/01/24,Manhattan,Non-member,Male,Sports & Travel,58.91,7,Ewallet,9,412.37
18/01/24,Manhattan,Member,Female,Fashion & Accs,88.15,3,Ewallet,7,264.45
18/01/24,Queens,Non-member,Female,Health & Beauty,39.42,1,Cash,8,39.42
18/01/24,Manhattan,Non-member,Female,Electronics,26.31,5,Credit card,8,131.55
18/01/24,Queens,Non-member,Male,Fashion & Accs,60.74,7,Ewallet,5,425.18
18/01/24,Brooklyn,Non-member,Male,Food & Beverages,19.79,8,Ewallet,8,158.32
18/01/24,Manhattan,Member,Male,Home & Lifestyle,19.36,9,Ewallet,8,174.24
18/01/24,Manhattan,Member,Male,Sports & Travel,89.06,6,Cash,9,534.36
18/01/24,Queens,Member,Female,Sports & Travel,90.63,9,Cash,5,815.67
18/01/24,Brooklyn,Member,Female,Fashion & Accs,17.48,6,Credit card,6,104.88
19/01/24,Brooklyn,Member,Female,Electronics,12.1,8,Ewallet,8,96.8
19/01/24,Queens,Member,Male,Sports & Travel,80.93,1,Credit card,9,80.93
19/01/24,Manhattan,Non-member,Female,Fashion & Accs,99.1,6,Cash,4,594.6
19/01/24,Brooklyn,Non-member,Male,Sports & Travel,63.06,3,Ewallet,7,189.18
19/01/24,Manhattan,Non-member,Male,Sports & Travel,64.19,10,Credit card,6,641.9
19/01/24,Manhattan,Non-member,Female,Home & Lifestyle,45.68,10,Ewallet,5,456.8
19/01/24,Queens,Member,Male,Food & Beverages,59.59,4,Cash,9,238.36
19/01/24,Manhattan,Member,Male,Electronics,11.94,3,Credit card,8,35.82
19/01/24,Queens,Non-member,Female,Electronics,56.13,4,Ewallet,8,224.52
19/01/24,Queens,Non-member,Female,Food & Beverages,43.18,8,Credit card,8,345.44
19/01/24,Brooklyn,Member,Male,Electronics,52.89,6,Credit card,9,317.34
19/01/24,Manhattan,Non-member,Male,Food & Beverages,33.88,8,Ewallet,9,271.04
19/01/24,Manhattan,Member,Male,Sports & Travel,67.26,4,Credit card,8,269.04
19/01/24,Queens,Member,Female,Home & Lifestyle,88.61,1,Cash,7,88.61
19/01/24,Manhattan,Member,Male,Home & Lifestyle,58.07,9,Ewallet,4,522.63
19/01/24,Manhattan,Non-member,Male,Food & Beverages,51.28,6,Cash,6,307.68
20/01/24,Queens,Member,Male,Sports & Travel,82.93,4,Ewallet,9,331.72
20/01/24,Manhattan,Member,Male,Health & Beauty,55.5,4,Credit card,6,222
20/01/24,Manhattan,Non-member,Female,Sports & Travel,93.14,2,Ewallet,4,186.28
20/01/24,Brooklyn,Non-member,Male,Home & Lifestyle,53.44,2,Ewallet,4,106.88
20/01/24,Brooklyn,Non-member,Male,Home & Lifestyle,37.48,3,Credit card,7,112.44
20/01/24,Queens,Non-member,Male,Fashion & Accs,15.62,8,Ewallet,9,124.96
20/01/24,Manhattan,Member,Female,Home & Lifestyle,72.35,10,Cash,5,723.5
20/01/24,Queens,Non-member,Male,Health & Beauty,64.08,7,Ewallet,7,448.56
20/01/24,Manhattan,Member,Female,Fashion & Accs,63.88,8,Ewallet,9,511.04
20/01/24,Queens,Member,Female,Home & Lifestyle,89.25,8,Cash,4,714
21/01/24,Manhattan,Non-member,Male,Home & Lifestyle,73.22,6,Cash,7,439.32
21/01/24,Queens,Non-member,Female,Health & Beauty,99.19,6,Credit card,5,595.14
21/01/24,Manhattan,Member,Male,Health & Beauty,53.17,7,Cash,8,372.19
21/01/24,Brooklyn,Member,Female,Sports & Travel,98.13,1,Cash,8,98.13
21/01/24,Manhattan,Member,Female,Food & Beverages,36.36,2,Cash,7,72.72
21/01/24,Manhattan,Non-member,Female,Home & Lifestyle,77.95,6,Ewallet,8,467.7
21/01/24,Queens,Member,Male,Food & Beverages,68.98,1,Cash,4,68.98
21/01/24,Manhattan,Non-member,Male,Food & Beverages,54.67,3,Credit card,8,164.01
22/01/24,Queens,Non-member,Female,Health & Beauty,20.38,5,Cash,6,101.9
22/01/24,Queens,Member,Female,Health & Beauty,81.51,1,Ewallet,9,81.51
22/01/24,Queens,Member,Male,Home & Lifestyle,39.39,5,Credit card,8,196.95
22/01/24,Brooklyn,Non-member,Female,Food & Beverages,28.86,5,Credit card,8,144.3
22/01/24,Manhattan,Non-member,Male,Home & Lifestyle,30.68,3,Ewallet,9,92.04
22/01/24,Brooklyn,Non-member,Female,Health & Beauty,55.81,6,Cash,9,334.86
22/01/24,Manhattan,Non-member,Male,Home & Lifestyle,74.67,9,Ewallet,9,672.03
23/01/24,Manhattan,Member,Female,Health & Beauty,95.95,5,Ewallet,8,479.75
23/01/24,Queens,Non-member,Female,Electronics,84.05,3,Cash,9,252.15
23/01/24,Manhattan,Member,Female,Food & Beverages,47.63,9,Cash,5,428.67
23/01/24,Queens,Member,Female,Sports & Travel,89.8,10,Credit card,5,898
23/01/24,Manhattan,Non-member,Female,Electronics,66.06,6,Cash,7,396.36
23/01/24,Queens,Member,Female,Home & Lifestyle,83.77,6,Ewallet,5,502.62
23/01/24,Queens,Member,Female,Home & Lifestyle,47.38,4,Cash,7,189.52
23/01/24,Manhattan,Non-member,Male,Health & Beauty,58.15,4,Cash,8,232.6
23/01/24,Queens,Non-member,Male,Health & Beauty,99.96,7,Cash,6,699.72
23/01/24,Manhattan,Member,Male,Fashion & Accs,17.94,5,Ewallet,6,89.7
23/01/24,Queens,Member,Male,Food & Beverages,38.47,8,Cash,7,307.76
23/01/24,Queens,Non-member,Female,Fashion & Accs,45.44,7,Cash,9,318.08
23/01/24,Queens,Non-member,Female,Health & Beauty,10.99,5,Credit card,9,54.95
23/01/24,Manhattan,Non-member,Male,Fashion & Accs,30.61,1,Ewallet,5,30.61
23/01/24,Queens,Non-member,Male,Electronics,83.08,1,Ewallet,6,83.08
23/01/24,Queens,Non-member,Male,Food & Beverages,19.25,8,Ewallet,6,154
23/01/24,Manhattan,Member,Male,Food & Beverages,98.53,6,Credit card,4,591.18
24/01/24,Queens,Member,Male,Home & Lifestyle,85.72,3,Ewallet,5,257.16
24/01/24,Manhattan,Member,Male,Fashion & Accs,86.68,8,Credit card,7,693.44
24/01/24,Manhattan,Member,Female,Electronics,48.62,8,Cash,5,388.96
24/01/24,Queens,Member,Female,Home & Lifestyle,60.87,1,Cash,5,60.87
24/01/24,Brooklyn,Non-member,Male,Home & Lifestyle,73.28,5,Ewallet,8,366.4
24/01/24,Manhattan,Non-member,Female,Health & Beauty,77.5,5,Ewallet,4,387.5
24/01/24,Manhattan,Non-member,Male,Sports & Travel,78.77,10,Cash,6,787.7
24/01/24,Brooklyn,Non-member,Female,Sports & Travel,76.6,10,Ewallet,6,766
24/01/24,Manhattan,Non-member,Male,Electronics,10.56,8,Cash,7,84.48
24/01/24,Brooklyn,Member,Male,Electronics,40.3,10,Credit card,7,403
24/01/24,Brooklyn,Member,Female,Sports & Travel,23.08,6,Ewallet,4,138.48
24/01/24,Brooklyn,Member,Male,Fashion & Accs,93.22,3,Cash,7,279.66
24/01/24,Brooklyn,Non-member,Male,Electronics,75.88,7,Ewallet,8,531.16
25/01/24,Brooklyn,Non-member,Female,Fashion & Accs,60.96,2,Credit card,4,121.92
25/01/24,Brooklyn,Non-member,Female,Food & Beverages,48.51,7,Credit card,5,339.57
25/01/24,Manhattan,Member,Male,Home & Lifestyle,60.01,4,Cash,4,240.04
25/01/24,Brooklyn,Non-member,Male,Health & Beauty,96.11,1,Ewallet,7,96.11
25/01/24,Brooklyn,Member,Male,Health & Beauty,51.13,4,Credit card,4,204.52
25/01/24,Manhattan,Member,Female,Sports & Travel,40.05,4,Cash,9,160.2
25/01/24,Brooklyn,Non-member,Male,Sports & Travel,21.87,2,Ewallet,6,43.74
25/01/24,Queens,Member,Male,Fashion & Accs,15.43,1,Credit card,6,15.43
25/01/24,Manhattan,Member,Male,Home & Lifestyle,53.3,3,Ewallet,7,159.9
25/01/24,Brooklyn,Non-member,Female,Fashion & Accs,39.62,7,Cash,7,277.34
25/01/24,Queens,Member,Female,Fashion & Accs,84.87,3,Ewallet,7,254.61
25/01/24,Queens,Member,Male,Health & Beauty,90.5,10,Cash,8,905
25/01/24,Manhattan,Non-member,Male,Electronics,26.23,9,Ewallet,5,236.07
25/01/24,Queens,Member,Female,Sports & Travel,70.19,9,Cash,6,631.71
25/01/24,Queens,Non-member,Male,Health & Beauty,34.31,8,Ewallet,5,274.48
25/01/24,Manhattan,Non-member,Male,Fashion & Accs,74.1,1,Cash,9,74.1
25/01/24,Brooklyn,Non-member,Female,Food & Beverages,88.36,5,Cash,9,441.8
26/01/24,Brooklyn,Member,Male,Food & Beverages,80.05,5,Credit card,9,400.25
26/01/24,Brooklyn,Member,Male,Health & Beauty,69.37,9,Ewallet,4,624.33
26/01/24,Queens,Non-member,Female,Fashion & Accs,64.99,1,Credit card,4,64.99
26/01/24,Manhattan,Non-member,Female,Fashion & Accs,12.09,1,Credit card,8,12.09
26/01/24,Brooklyn,Non-member,Male,Electronics,87.08,7,Cash,5,609.56
26/01/24,Brooklyn,Non-member,Male,Home & Lifestyle,25.55,4,Ewallet,5,102.2
26/01/24,Brooklyn,Member,Female,Food & Beverages,78.88,2,Cash,9,157.76
26/01/24,Brooklyn,Non-member,Male,Food & Beverages,33.33,2,Credit card,6,66.66
26/01/24,Manhattan,Non-member,Male,Electronics,51.69,7,Cash,5,361.83
26/01/24,Brooklyn,Non-member,Female,Sports & Travel,51.54,5,Cash,4,257.7
26/01/24,Brooklyn,Non-member,Female,Food & Beverages,96.68,3,Ewallet,6,290.04
26/01/24,Queens,Member,Male,Health & Beauty,33.81,3,Ewallet,7,101.43
26/01/24,Manhattan,Non-member,Male,Fashion & Accs,21.32,1,Cash,5,21.32
26/01/24,Queens,Non-member,Female,Sports & Travel,44.86,10,Ewallet,8,448.6
26/01/24,Brooklyn,Non-member,Female,Fashion & Accs,37.95,10,Cash,9,379.5
26/01/24,Brooklyn,Non-member,Female,Fashion & Accs,81.37,2,Cash,6,162.74
26/01/24,Queens,Non-member,Female,Fashion & Accs,36.85,5,Cash,9,184.25
27/01/24,Manhattan,Member,Male,Electronics,73.26,1,Ewallet,9,73.26
27/01/24,Queens,Member,Female,Fashion & Accs,54.07,9,Ewallet,9,486.63
27/01/24,Queens,Non-member,Female,Sports & Travel,14.36,10,Cash,5,143.6
27/01/24,Queens,Non-member,Female,Food & Beverages,90.24,6,Cash,6,541.44
27/01/24,Queens,Member,Female,Electronics,46.57,10,Cash,7,465.7
27/01/24,Brooklyn,Non-member,Female,Home & Lifestyle,49.01,10,Credit card,4,490.1
27/01/24,Manhattan,Member,Male,Health & Beauty,58.22,8,Ewallet,8,465.76
27/01/24,Manhattan,Non-member,Female,Sports & Travel,32.25,5,Cash,9,161.25
27/01/24,Brooklyn,Member,Male,Health & Beauty,96.16,4,Credit card,8,384.64
27/01/24,Queens,Non-member,Male,Home & Lifestyle,69.4,2,Ewallet,9,138.8
27/01/24,Manhattan,Non-member,Female,Home & Lifestyle,12.03,2,Cash,5,24.06
27/01/24,Manhattan,Non-member,Male,Food & Beverages,81.71,6,Credit card,8,490.26
27/01/24,Queens,Member,Female,Home & Lifestyle,24.24,7,Ewallet,9,169.68
27/01/24,Manhattan,Non-member,Female,Fashion & Accs,54.28,7,Ewallet,9,379.96
28/01/24,Queens,Non-member,Female,Home & Lifestyle,69.81,4,Credit card,5,279.24
28/01/24,Brooklyn,Non-member,Male,Health & Beauty,99.16,8,Credit card,4,793.28
28/01/24,Brooklyn,Member,Female,Health & Beauty,19.15,1,Credit card,9,19.15
28/01/24,Queens,Non-member,Female,Sports & Travel,80.97,8,Cash,9,647.76
28/01/24,Manhattan,Non-member,Male,Food & Beverages,11.53,7,Cash,8,80.71
28/01/24,Queens,Non-member,Female,Fashion & Accs,23.82,5,Ewallet,5,119.1
28/01/24,Brooklyn,Member,Female,Electronics,21.43,10,Cash,6,214.3
28/01/24,Queens,Non-member,Male,Health & Beauty,17.41,5,Credit card,4,87.05
28/01/24,Brooklyn,Member,Male,Sports & Travel,78.07,9,Cash,4,702.63
28/01/24,Brooklyn,Member,Male,Health & Beauty,75.37,8,Credit card,8,602.96
28/01/24,Queens,Member,Male,Electronics,18.77,6,Credit card,5,112.62
28/01/24,Brooklyn,Member,Female,Health & Beauty,72.11,9,Credit card,7,648.99
28/01/24,Manhattan,Member,Male,Electronics,24.18,8,Ewallet,9,193.44
28/01/24,Queens,Member,Male,Health & Beauty,86.8,3,Ewallet,9,260.4
29/01/24,Brooklyn,Member,Male,Fashion & Accs,32.62,4,Cash,9,130.48
